ID,LABEL,IAO:0000115,oboInOwl:hasExactSynonym,oboInOwl:hasNarrowSynonym,oboInOwl:hasBroadSynonym,oboInOwl:hasRelatedSynonym,rdfs:comment
obo:PREFER_0000000,process rate metric,"A key process metric that represents a quantitative metric, describing rates or fluxes associated, for instance, wiht growth, product formation, substrate consumption, or respiration, during a fermentation process.",key precision fermentation process rate metric,,,,
obo:PREFER_0000002,fermentation project,A precision fermentation process that consist of a single fermentation experiment or multiple related experiments.,project,,,,
obo:PREFER_0000003,fermentation experiment,"A precision fermentation process that consists of sets of fermentation runs conducted within the same project, all following a shared experimental approach or protocol.",experiment,,,,
obo:PREFER_0000004,fermentation run,"A precision fermentation process that is carried out under defined experimental conditions (e.g., temperature, pH, agitation) using a single bioreactor system.",,,cell culture process,,
obo:PREFER_0000005,alkaline cultivation condition,"A cultivation condition that represents the alkalinity related aspects of a fermentation cultivation process, grouping process control varibales and process measurement variables that describe or regulate the pH and buffering state of the cultivation environment.",,,,,
obo:PREFER_0000006,gravimetric feed rate control variable,A process control variable that represents the target rate at which the feed (based on its weight) is added to a bioreactor or fermentation system during a fermentation process.,,,,,
obo:PREFER_0000007,temperature cultivation condition,"A cultivation condition that represents the temperature related aspects of a fermentation cultivation process, grouping process control varibales and process measurement variables that describe or regulate the thermal state of the cultivation environment.",,,,,
obo:PREFER_0000008,cultivation condition,"An information content entity that represents a set of process conditions, grouping relevant process control variables and process measurement variables, describing the environmental and physicochemical conditions under which cells are cultivated.",fermentation culture condition,,,,
obo:PREFER_0000009,feed control variable,A precision fermentation process control variable that defines the feed control of a bioreactor or fermentation system during the fermentation process.,precision fermentation process feed control variable,,,,
obo:PREFER_0000010,fermentation culture,A material entity consisting of a cell population that is cultivated under controlled environmental conditions supporting a fermentation process.,,cultured cell population,,,"Fermentation cultures are used in bioprocesses for various applications including precision fermentation, bioremediation, and production of biofuels and pharmaceuticals."
obo:PREFER_0000011,fermentation medium,"A material entity consisting of an aqueous mixture of macronutrients, micronturients, and buffering agents that is used to support cell growth, metabolic activity and product formation during a fermentation process.",cultivation medium,,,,
obo:PREFER_0000012,cell biocatalyst,"A material entity consisting of a whole living cell that is used as a catalyst for bioproduction, catalyzing a biochemical reaction or transformation through their intrinsec or genetically modified metabolic activity.",WCB|cell catalyst|cell factory|whole-cell biocatalyst,microbial cell factory,biocatalyst|biological catalyst|catalyst,,"In a biotransformation process or bioprocess, a cell biocatalyst converts substrates (organic or inorganic compounds) into outputs such as products, by-products, and cell biomass. Energy derived from substrate conversion is used for product formation, growth and cellular maintenance."
obo:PREFER_0000013,taxon quality,"A quality of one or more biological organisms, as well as of parts of organism pertaining to a biological taxon.",,,taxon,,
obo:PREFER_0000014,bioreactor,"A device or system that is a material entity designed to support the run of a biological and biochemical process by controlling regulated environmental and cultivation conditions, such as temperature, agitation or nutrient injection at different scales, including lab-scale, pilot plant, and industrial-scale systems.",bioreactor system,fermenter,,,"While this term is equivalent to OBI:0001046, PREFER has specific modelling that makes it more difficult to maintain if used directly. A decision was hence made to create this new term in PREFER and map it to OBI:0001046 instead."
obo:PREFER_0000015,operational parameter,"An information content entity that represents a set of configurable settings used to operate and control a fermentation process, grouping process control variables and mode dependent parameters that define how cultivation conditions are regulated in a bioreactor or fermentation system during the process.",,,operational setting|parameter,,"Operational parameters may vary depending on the selected fermentation operational mode (e.g. batch, fed-batch, continuous) and are realized through instrument or system configuration."
obo:PREFER_0000016,fermentation phase,A time interval of a fermentation process.,,,,,
obo:PREFER_0000017,phase event,An operational intervention set by user that triggers the start or end of the fermentation phase.,,,,,
obo:PREFER_0000018,offline sample,"A material entity consisting of a sample that has been withdrawn from a bioprocess system or bioreactor at a specific time point during the ongoing fermentation run for subsequent offline analysis of various compounds, such as substrates, products, and by-products, and biomass.",collected sample,,material sample,,
obo:PREFER_0000019,temperature setpoint control variable,A precision fermentation process control variable that represents the target temperature value to be regulated and maintained within a bioreactor or fermentation system during a fermentation process.,Tº setpoint|precision fermentation process temperature setpoint control variable|target Tº|target temperature|target temperature value|temperature control setpoint|temperature reference point|temperature reference value|temperature setting,,,,
obo:PREFER_0000020,pH setpoint control variable,A precision fermentation process control variable that represents the target pH value to be regulated and maintained within a bioreactor or fermentation system during a fermentation process.,pH control setpoint|ph control setpoint|ph setpoint|precision fermentation process pH setpoint control variable|target pH|target ph,,,,
obo:PREFER_0000021,pH base solution,"A liquid material entity with basic (alkaline) properties that is used to increase the pH of a solution or system.

In a fermentation process, it is added manually or automatically to the fermentation run to control and maintain the pH at the defined setpoint or desired value.",pH control base solution,,,,
obo:PREFER_0000022,pH acid solution,"A liquid material entity with acidic properties that is used to decrease the pH of a solution or system.

In a fermentation process, it is added manually or automatically to the fermentation run to control and maintain the pH at the defined setpoint or desired value.",pH control acid solution,,,,
obo:PREFER_0000023,core balance metric,"A precision fermentation process calculated variable that represents a quantitative metric derived from balance calculations over a process, used to characterize the balance of inputs and outputs within a bioreactor or fermenter system during the fermentation process.",elemental balance metric,,,,
obo:PREFER_0000024,fermentation medium cultivation condition,"A cultivation condition that represents the fermentation medium related aspects of a fermentation cultivation process, grouping process control varibales and process measurement variables that describe or regulate the state of the fermentation medium within the cultivation environment.",,,,,
obo:PREFER_0000025,dissolved oxygen setpoint control variable,A precision fermentation process dissolved oxygen control variable that represents the target dissolved oxygen value to be regulated and maintained within a bioreactor or fermentation system during a fermentation process.,DO setpoint|dissolved oxygen setpoint|precision fermentation process dissolved oxygen setpoint control variable,,,,
obo:PREFER_0000026,dissolved oxygen cascade level control variable,A precision fermentation process dissolved oxygen control variable that represents the cascade control system linked to a parameter to achieve the desired dissolved oxygen level within a bioreactor or fermentation system during a fermentation process.,DO cascade level control variable|dissolved oxygen control strategy variable|precision fermentation process dissolved oxygen cascade level control variable,,,,"For instance, in fed-batch operation mode there could be three different cascade levels. Level 1 involves adjusting the stirrer speed parameter. Level 2 involves adjusting the air flow parameter. Level 3 involves adjusting the oxygen flow parameter."
obo:PREFER_0000027,maximum stirring setpoint control variable,A precision fermentation process dissolved oxygen control variable that represents the target maximum revolutions per minute (rpm) of the bioreactor stirrer to be regulated and or maintained within a bioreactor or fermentation system during a fermentation process.,maximum shaking speed setpoint|maximum shaking speed setpoint control variable|maximum stirring speed setpoint|precision fermentation process maximum stirring setpoint control variable,,,,
